job_db_inx,mod_time,account,cpus_req,id_array_task,id_job,id_user,id_group,het_job_offset,mem_req,nodelist,partition,timelimit,time_submit,time_eligible,time_start,time_end,tres_alloc,tres_req
627,1739429110,\N,16,4294967294,1175,1027,1050,4294967294,0,godzilla,kaijus,4294967295,1739427043,1739427043,1739428309,1739429110,"1=16,3=18446744073709551614,4=1,5=16","1=16,2=256000,4=1,5=16"
628,1739430077,\N,16,4294967294,1176,1027,1050,4294967294,0,godzilla,kaijus,4294967295,1739427055,1739427055,1739429110,1739430077,"1=16,3=18446744073709551614,4=1,5=16","1=16,2=256000,4=1,5=16"
629,1739431119,\N,16,4294967294,1177,1027,1050,4294967294,0,godzilla,kaijus,4294967295,1739427071,1739427071,1739430077,1739431119,"1=16,3=18446744073709551614,4=1,5=16","1=16,2=256000,4=1,5=16"
630,1739432233,\N,16,4294967294,1178,1027,1050,4294967294,0,godzilla,kaijus,4294967295,1739427077,1739427077,1739431119,1739432233,"1=16,3=18446744073709551614,4=1,5=16","1=16,2=256000,4=1,5=16"
631,1739433508,\N,16,4294967294,1179,1027,1050,4294967294,0,godzilla,kaijus,4294967295,1739427081,1739427081,1739432233,1739433508,"1=16,3=18446744073709551614,4=1,5=16","1=16,2=256000,4=1,5=16"
632,1739434832,\N,16,4294967294,1180,1027,1050,4294967294,0,godzilla,kaijus,4294967295,1739427090,1739427090,1739433508,1739434832,"1=16,3=18446744073709551614,4=1,5=16","1=16,2=256000,4=1,5=16"
719,1741895929,\N,1,4294967294,1192,1027,1023,4294967294,0,rodan,kaijus,43260,1741616930,1741616930,1741616931,1741895929,"1=1,4=1,5=1","1=1,2=256000,4=1,5=1"
721,1741895929,\N,1,4294967294,1193,1027,1023,4294967294,0,rodan,kaijus,43260,1741616995,1741616995,1741616996,1741895929,"1=1,4=1,5=1","1=1,2=256000,4=1,5=1"
723,1741895929,\N,1,4294967294,1194,1027,1023,4294967294,0,rodan,kaijus,43260,1741617039,1741617039,1741617039,1741895929,"1=1,4=1,5=1","1=1,2=256000,4=1,5=1"
725,1741685917,\N,16,4294967294,1195,1027,1050,4294967294,0,rodan,kaijus,4294967295,1741631922,1741631922,1741631922,1741685917,"1=16,3=18446744073709551614,4=1,5=16","1=16,2=256000,4=1,5=16"
727,1741674550,\N,16,4294967294,1196,1027,1050,4294967294,0,mothra,kaijus,4294967295,1741632017,1741632017,1741632017,1741674550,"1=16,3=18446744073709551614,4=1,5=16","1=16,2=256000,4=1,5=16"
729,1741683324,\N,16,4294967294,1197,1027,1050,4294967294,0,godzilla,kaijus,4294967295,1741632443,1741632443,1741632444,1741683324,"1=16,3=18446744073709551614,4=1,5=16","1=16,2=256000,4=1,5=16"
731,1741683873,\N,16,4294967294,1198,1027,1050,4294967294,0,ghidorah,kaijus,4294967295,1741632545,1741632545,1741632546,1741683873,"1=16,3=18446744073709551614,4=1,5=16","1=16,2=256000,4=1,5=16"
732,1741722125,\N,16,4294967294,1199,1027,1050,4294967294,0,mothra,kaijus,4294967295,1741632610,1741632610,1741674550,1741722125,"1=16,3=18446744073709551614,4=1,5=16","1=16,2=256000,4=1,5=16"
733,1741739140,\N,16,4294967294,1200,1027,1050,4294967294,0,godzilla,kaijus,4294967295,1741632774,1741632774,1741683324,1741739140,"1=16,3=18446744073709551614,4=1,5=16","1=16,2=256000,4=1,5=16"
734,1741726890,\N,16,4294967294,1201,1027,1050,4294967294,0,ghidorah,kaijus,4294967295,1741632784,1741632784,1741683873,1741726890,"1=16,3=18446744073709551614,4=1,5=16","1=16,2=256000,4=1,5=16"
735,1741721582,\N,16,4294967294,1202,1027,1050,4294967294,0,rodan,kaijus,4294967295,1741633710,1741633710,1741685917,1741721582,"1=16,3=18446744073709551614,4=1,5=16","1=16,2=256000,4=1,5=16"
736,1741775409,\N,16,4294967294,1203,1027,1050,4294967294,0,rodan,kaijus,4294967295,1741633716,1741633716,1741721582,1741775409,"1=16,3=18446744073709551614,4=1,5=16","1=16,2=256000,4=1,5=16"
737,1741751208,\N,16,4294967294,1204,1027,1050,4294967294,0,mothra,kaijus,4294967295,1741633723,1741633723,1741722125,1741751207,"1=16,3=18446744073709551614,4=1,5=16","1=16,2=256000,4=1,5=16"
